question_id,subject,grade,competency,difficulty,question_type,marks,question_text,created_by,last_used_date
3,Mathematics,7.0,Algebra,hard,MCQ,2.0,Sample question text 3,Teacher B,2025-02-14
5,Science,5.0,Fractions,medium,Word Problem,2.0,Sample question text 5,Unknown,
6,Mathematics,7.0,Algebra,medium,MCQ,2.0,Sample question text 6,Teacher B,2025-01-10
8,Mathematics,7.0,Fractions,easy,Short Answer,2.0,Sample question text 8,Unknown,2025-03-14
9,Mathematics,7.0,Measurement,hard,MCQ,5.0,Sample question text 9,Unknown,
10,Mathematics,6.0,Geometry,medium,Short Answer,5.0,Sample question text 10,Teacher A,
11,English,5.0,Algebra,easy,True/False,1.0,Sample question text 11,Teacher B,
13,Mathematics,7.0,Fractions,unknown,True/False,5.0,Sample question text 13,Admin,2025-02-14
17,English,6.0,Geometry,unknown,MCQ,2.0,Sample question text 17,Teacher A,2025-01-10
18,English,7.0,Measurement,easy,MCQ,1.0,Sample question text 18,Unknown,2025-02-14
20,Mathematics,5.0,Fractions,medium,MCQ,3.0,Sample question text 20,Admin,
26,Mathematics,5.0,Geometry,hard,Unknown,2.0,Sample question text 26,Admin,2025-01-10
29,Mathematics,6.0,Data Interpretation,unknown,MCQ,2.0,Sample question text 29,Admin,2025-02-14
30,Science,7.0,Geometry,hard,Short Answer,2.0,Sample question text 30,Admin,2025-03-14
31,Mathematics,5.0,Measurement,hard,True/False,5.0,Sample question text 31,Teacher A,
33,Science,7.0,Algebra,unknown,MCQ,3.0,Sample question text 33,Teacher A,2025-03-14
34,Science,7.0,Algebra,unknown,Unknown,2.0,Sample question text 34,Teacher A,2025-02-14
35,Mathematics,7.0,Data Interpretation,easy,MCQ,2.0,Sample question text 35,Unknown,2025-01-10
37,Mathematics,7.0,Geometry,easy,Word Problem,2.0,Sample question text 37,Teacher B,2025-01-10
42,Science,7.0,Measurement,easy,MCQ,2.0,Sample question text 42,Teacher A,2025-02-14
43,Mathematics,7.0,Algebra,medium,True/False,1.0,Sample question text 43,Unknown,
45,Science,6.0,Fractions,easy,Word Problem,2.0,Sample question text 45,Unknown,
47,Science,7.0,Data Interpretation,unknown,MCQ,2.0,Sample question text 47,Unknown,2025-01-10
48,Mathematics,7.0,Algebra,easy,Unknown,2.0,Sample question text 48,Teacher B,
53,Science,6.0,Data Interpretation,unknown,MCQ,2.0,Sample question text 53,Admin,
57,Mathematics,7.0,Geometry,easy,MCQ,2.0,Sample question text 57,Teacher A,2025-02-14
58,Mathematics,5.0,Algebra,easy,MCQ,2.0,Sample question text 58,Unknown,
67,Mathematics,6.0,Measurement,medium,Word Problem,5.0,Sample question text 67,Unknown,2025-01-10
69,Mathematics,6.0,Fractions,medium,MCQ,2.0,Sample question text 69,Teacher A,2025-03-14
72,English,5.0,Fractions,easy,Word Problem,2.0,Sample question text 72,Unknown,2025-03-14
74,Science,7.0,Fractions,hard,True/False,2.0,Sample question text 74,Unknown,2025-03-14
77,English,7.0,Data Interpretation,hard,Word Problem,3.0,Sample question text 77,Teacher B,
80,Mathematics,7.0,Measurement,easy,Unknown,2.0,Sample question text 80,Admin,
81,Mathematics,6.0,Data Interpretation,easy,MCQ,5.0,Sample question text 81,Unknown,
84,Mathematics,5.0,Data Interpretation,unknown,MCQ,3.0,Sample question text 84,Unknown,
87,Mathematics,6.0,Fractions,easy,MCQ,2.0,Sample question text 87,Teacher A,
95,English,7.0,Geometry,easy,MCQ,2.0,Sample question text 95,Unknown,2025-02-14
96,Mathematics,5.0,Data Interpretation,easy,Unknown,1.0,Sample question text 96,Admin,
97,Science,7.0,Algebra,easy,MCQ,2.0,Sample question text 97,Teacher B,2025-02-14
100,Mathematics,6.0,Measurement,easy,MCQ,2.0,Sample question text 100,Admin,2025-02-14
103,Mathematics,6.0,Fractions,unknown,True/False,2.0,Sample question text 103,Unknown,2025-02-14
105,Science,5.0,Algebra,hard,Short Answer,3.0,Sample question text 105,Teacher B,2025-02-14
107,Science,6.0,Data Interpretation,easy,MCQ,2.0,Sample question text 107,Admin,2025-02-14
108,Mathematics,7.0,Measurement,unknown,Word Problem,2.0,Sample question text 108,Unknown,
111,Mathematics,6.0,Fractions,hard,Unknown,3.0,Sample question text 111,Unknown,2025-02-14
112,Mathematics,5.0,Algebra,medium,Word Problem,1.0,Sample question text 112,Unknown,
113,Science,6.0,Fractions,medium,True/False,2.0,Sample question text 113,Teacher A,
118,English,6.0,Algebra,hard,Short Answer,1.0,Sample question text 118,Unknown,2025-02-14
120,Mathematics,6.0,Geometry,medium,Unknown,5.0,Sample question text 120,Teacher A,
126,Science,5.0,Measurement,unknown,Unknown,2.0,Sample question text 126,Teacher A,2025-01-10
128,Science,5.0,Algebra,medium,True/False,2.0,Sample question text 128,Admin,2025-02-14
133,Mathematics,6.0,Fractions,hard,Word Problem,2.0,Sample question text 133,Teacher B,2025-01-10
136,Mathematics,7.0,Algebra,hard,Unknown,5.0,Sample question text 136,Unknown,2025-03-14
139,Mathematics,5.0,Fractions,unknown,MCQ,2.0,Sample question text 139,Unknown,
141,English,6.0,Geometry,unknown,MCQ,1.0,Sample question text 141,Unknown,2025-02-14
146,Mathematics,6.0,Geometry,easy,Word Problem,2.0,Sample question text 146,Unknown,
147,Mathematics,6.0,Data Interpretation,easy,Short Answer,3.0,Sample question text 147,Teacher A,
148,Mathematics,5.0,Data Interpretation,easy,Short Answer,1.0,Sample question text 148,Teacher A,
149,Mathematics,7.0,Measurement,unknown,Short Answer,1.0,Sample question text 149,Teacher A,
155,Science,6.0,Algebra,medium,MCQ,5.0,Sample question text 155,Unknown,
157,Mathematics,5.0,Fractions,easy,Unknown,2.0,Sample question text 157,Admin,2025-02-14
158,English,5.0,Algebra,easy,MCQ,1.0,Sample question text 158,Teacher A,2025-02-14
160,Mathematics,5.0,Fractions,hard,True/False,2.0,Sample question text 160,Admin,2025-02-14
161,Mathematics,6.0,Fractions,hard,MCQ,2.0,Sample question text 161,Unknown,2025-02-14
165,Mathematics,6.0,Algebra,unknown,Unknown,2.0,Sample question text 165,Unknown,2025-03-14
169,Mathematics,7.0,Geometry,easy,MCQ,5.0,Sample question text 169,Unknown,
172,Mathematics,7.0,Data Interpretation,easy,Unknown,3.0,Sample question text 172,Unknown,
177,Mathematics,6.0,Algebra,medium,Short Answer,2.0,Sample question text 177,Unknown,2025-02-14
178,Mathematics,5.0,Data Interpretation,easy,Word Problem,5.0,Sample question text 178,Teacher B,
179,Mathematics,7.0,Algebra,unknown,MCQ,2.0,Sample question text 179,Teacher A,
181,Science,6.0,Measurement,medium,MCQ,5.0,Sample question text 181,Unknown,2025-01-10
184,Mathematics,6.0,Algebra,medium,MCQ,1.0,Sample question text 184,Admin,2025-02-14
186,Mathematics,6.0,Algebra,medium,MCQ,1.0,Sample question text 186,Unknown,
192,English,6.0,Geometry,unknown,Unknown,2.0,Sample question text 192,Unknown,2025-02-14
196,Science,6.0,Algebra,easy,Unknown,1.0,Sample question text 196,Teacher A,2025-02-14
197,Science,7.0,Algebra,medium,Short Answer,2.0,Sample question text 197,Admin,
202,Science,5.0,Geometry,easy,Short Answer,5.0,Sample question text 202,Teacher A,2025-02-14
207,Mathematics,6.0,Fractions,hard,True/False,1.0,Sample question text 207,Unknown,
213,Science,6.0,Algebra,hard,Unknown,5.0,Sample question text 213,Teacher A,
216,English,7.0,Algebra,easy,Unknown,2.0,Sample question text 216,Unknown,2025-01-10
217,Science,7.0,Measurement,easy,Word Problem,2.0,Sample question text 217,Teacher B,2025-02-14
218,English,6.0,Algebra,unknown,Short Answer,3.0,Sample question text 218,Teacher B,2025-01-10
221,Mathematics,6.0,Algebra,hard,Short Answer,3.0,Sample question text 221,Admin,2025-03-14
222,Mathematics,5.0,Algebra,medium,MCQ,5.0,Sample question text 222,Unknown,
224,Mathematics,5.0,Algebra,easy,MCQ,3.0,Sample question text 224,Admin,2025-03-14
226,Mathematics,7.0,Algebra,hard,True/False,2.0,Sample question text 226,Admin,2025-02-14
228,Science,7.0,Fractions,easy,Unknown,2.0,Sample question text 228,Admin,
231,Mathematics,5.0,Fractions,medium,Short Answer,3.0,Sample question text 231,Unknown,
237,Mathematics,7.0,Geometry,medium,Short Answer,1.0,Sample question text 237,Admin,2025-03-14
243,Mathematics,7.0,Fractions,unknown,Unknown,2.0,Sample question text 243,Admin,
246,Science,7.0,Data Interpretation,hard,Word Problem,2.0,Sample question text 246,Unknown,
247,Mathematics,7.0,Algebra,easy,MCQ,3.0,Sample question text 247,Unknown,2025-02-14
248,Science,6.0,Fractions,hard,Unknown,1.0,Sample question text 248,Admin,2025-02-14
249,Mathematics,7.0,Geometry,hard,MCQ,2.0,Sample question text 249,Teacher A,2025-01-10
253,Mathematics,6.0,Data Interpretation,easy,Word Problem,2.0,Sample question text 253,Teacher B,2025-02-14
256,English,7.0,Geometry,hard,Short Answer,2.0,Sample question text 256,Unknown,
257,Mathematics,6.0,Geometry,medium,Unknown,3.0,Sample question text 257,Unknown,2025-03-14
258,English,7.0,Fractions,medium,MCQ,2.0,Sample question text 258,Unknown,
260,Science,7.0,Geometry,unknown,MCQ,1.0,Sample question text 260,Admin,2025-02-14
261,Science,5.0,Data Interpretation,hard,Unknown,2.0,Sample question text 261,Unknown,2025-01-10
264,Mathematics,6.0,Fractions,medium,MCQ,2.0,Sample question text 264,Teacher B,2025-01-10
266,Science,6.0,Fractions,hard,Short Answer,2.0,Sample question text 266,Unknown,2025-03-14
267,Mathematics,5.0,Geometry,unknown,MCQ,2.0,Sample question text 267,Unknown,2025-03-14
268,Mathematics,6.0,Fractions,hard,True/False,1.0,Sample question text 268,Teacher B,
269,Mathematics,7.0,Geometry,easy,Unknown,2.0,Sample question text 269,Unknown,2025-01-10
270,Science,6.0,Geometry,hard,Word Problem,2.0,Sample question text 270,Unknown,2025-01-10
271,Mathematics,7.0,Algebra,medium,Short Answer,2.0,Sample question text 271,Unknown,
272,Science,5.0,Fractions,easy,Word Problem,5.0,Sample question text 272,Unknown,
273,Science,7.0,Fractions,unknown,Unknown,5.0,Sample question text 273,Unknown,2025-02-14
275,Mathematics,6.0,Data Interpretation,hard,True/False,2.0,Sample question text 275,Teacher B,2025-03-14
276,Mathematics,5.0,Geometry,easy,Short Answer,2.0,Sample question text 276,Unknown,2025-03-14
277,Mathematics,6.0,Geometry,hard,Short Answer,5.0,Sample question text 277,Admin,2025-01-10
278,Mathematics,6.0,Fractions,unknown,MCQ,5.0,Sample question text 278,Teacher B,2025-03-14
280,Science,7.0,Algebra,hard,Short Answer,5.0,Sample question text 280,Unknown,2025-02-14
281,Science,6.0,Fractions,hard,True/False,2.0,Sample question text 281,Teacher A,2025-02-14
286,Mathematics,7.0,Fractions,hard,Short Answer,2.0,Sample question text 286,Teacher A,2025-03-14
289,Mathematics,7.0,Geometry,unknown,Unknown,3.0,Sample question text 289,Teacher A,
294,Science,5.0,Algebra,unknown,True/False,2.0,Sample question text 294,Unknown,2025-03-14
296,English,5.0,Fractions,easy,MCQ,2.0,Sample question text 296,Unknown,
299,Science,7.0,Measurement,easy,MCQ,3.0,Sample question text 299,Admin,2025-02-14
302,Mathematics,7.0,Algebra,easy,Unknown,2.0,Sample question text 302,Teacher B,2025-03-14
304,English,5.0,Measurement,medium,Short Answer,3.0,Sample question text 304,Unknown,2025-01-10
305,Science,6.0,Fractions,hard,MCQ,3.0,Sample question text 305,Admin,2025-03-14
306,Mathematics,7.0,Geometry,medium,Short Answer,2.0,Sample question text 306,Teacher B,
311,Science,7.0,Algebra,unknown,Word Problem,3.0,Sample question text 311,Unknown,2025-03-14
313,Mathematics,7.0,Geometry,hard,True/False,1.0,Sample question text 313,Unknown,2025-02-14
314,Mathematics,7.0,Fractions,hard,True/False,2.0,Sample question text 314,Unknown,
318,Science,5.0,Fractions,easy,MCQ,5.0,Sample question text 318,Teacher A,
320,Mathematics,5.0,Geometry,unknown,Word Problem,2.0,Sample question text 320,Unknown,
325,Mathematics,7.0,Fractions,easy,MCQ,1.0,Sample question text 325,Unknown,
326,Mathematics,7.0,Fractions,hard,True/False,1.0,Sample question text 326,Teacher A,2025-02-14
327,Science,6.0,Measurement,unknown,MCQ,3.0,Sample question text 327,Admin,2025-02-14
329,Science,6.0,Fractions,easy,True/False,2.0,Sample question text 329,Admin,2025-02-14
331,Mathematics,7.0,Fractions,unknown,MCQ,5.0,Sample question text 331,Unknown,2025-02-14
333,Mathematics,7.0,Geometry,unknown,MCQ,2.0,Sample question text 333,Unknown,2025-01-10
334,Mathematics,5.0,Algebra,unknown,Unknown,2.0,Sample question text 334,Teacher B,
335,Mathematics,7.0,Geometry,medium,Unknown,5.0,Sample question text 335,Teacher A,2025-03-14
339,Mathematics,6.0,Measurement,unknown,MCQ,5.0,Sample question text 339,Teacher B,
344,Mathematics,7.0,Fractions,hard,Word Problem,2.0,Sample question text 344,Unknown,
349,Mathematics,6.0,Algebra,hard,Short Answer,2.0,Sample question text 349,Admin,
352,Mathematics,6.0,Geometry,hard,Word Problem,2.0,Sample question text 352,Unknown,2025-03-14
354,English,6.0,Measurement,medium,MCQ,2.0,Sample question text 354,Unknown,2025-02-14
356,Science,6.0,Data Interpretation,hard,Short Answer,2.0,Sample question text 356,Teacher A,
364,Science,6.0,Geometry,hard,Short Answer,2.0,Sample question text 364,Unknown,2025-01-10
366,Science,5.0,Fractions,easy,True/False,2.0,Sample question text 366,Teacher B,
371,Mathematics,5.0,Algebra,unknown,Unknown,1.0,Sample question text 371,Unknown,2025-01-10
375,Mathematics,7.0,Geometry,unknown,MCQ,2.0,Sample question text 375,Unknown,2025-01-10
379,Mathematics,7.0,Fractions,easy,Unknown,5.0,Sample question text 379,Admin,2025-03-14
380,Mathematics,5.0,Geometry,easy,MCQ,5.0,Sample question text 380,Admin,2025-02-14
386,Mathematics,7.0,Data Interpretation,unknown,True/False,2.0,Sample question text 386,Unknown,
388,Mathematics,7.0,Fractions,medium,Short Answer,5.0,Sample question text 388,Unknown,
389,Mathematics,7.0,Algebra,easy,Unknown,2.0,Sample question text 389,Teacher B,
390,Mathematics,5.0,Algebra,medium,Word Problem,2.0,Sample question text 390,Unknown,2025-02-14
392,English,6.0,Algebra,unknown,MCQ,2.0,Sample question text 392,Admin,
393,Mathematics,6.0,Algebra,hard,True/False,2.0,Sample question text 393,Teacher A,
394,Mathematics,6.0,Data Interpretation,medium,Word Problem,2.0,Sample question text 394,Teacher A,2025-03-14
396,Mathematics,5.0,Geometry,medium,MCQ,2.0,Sample question text 396,Unknown,2025-03-14
398,Mathematics,5.0,Fractions,unknown,MCQ,2.0,Sample question text 398,Teacher A,2025-03-14
399,Mathematics,6.0,Fractions,hard,True/False,1.0,Sample question text 399,Unknown,2025-02-14
400,Science,7.0,Measurement,medium,Short Answer,3.0,Sample question text 400,Teacher A,2025-02-14
403,Mathematics,7.0,Geometry,unknown,True/False,1.0,Sample question text 403,Teacher B,2025-03-14
406,English,6.0,Fractions,medium,MCQ,1.0,Sample question text 406,Teacher A,2025-02-14
412,Science,6.0,Data Interpretation,medium,Short Answer,1.0,Sample question text 412,Admin,2025-01-10
413,Mathematics,5.0,Measurement,unknown,MCQ,2.0,Sample question text 413,Admin,2025-03-14
414,Mathematics,7.0,Algebra,hard,MCQ,1.0,Sample question text 414,Teacher A,
415,English,5.0,Geometry,hard,True/False,2.0,Sample question text 415,Unknown,2025-02-14
417,Mathematics,7.0,Data Interpretation,medium,Unknown,2.0,Sample question text 417,Admin,2025-03-14
419,English,5.0,Data Interpretation,unknown,Short Answer,1.0,Sample question text 419,Teacher A,
422,Mathematics,7.0,Geometry,easy,True/False,1.0,Sample question text 422,Unknown,2025-03-14
